"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1258838247926620160","https://twitter.com/CovidFoodFuture/status/1258838247926620160","#COVID19 #Burkina: 12 autres marché de Ouagadougou ont réouvert ce jeudi 7 mai selon un arrêté de la mairie centrale. Le 29 avril dernier, la maire autorisait la réouverture de 27 marchés de la commune. @ed_sango #Covid19FoodFuture #lwili #Ouagadougou
📷 @AibBurkina https://t.co/qtwtLmM1vd","2020-05-08 19:16 +0000","890.0","25.0","0.028089887640449437","7.0","0.0","9.0","3.0","0.0","0.0","0.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258836278046572544","https://twitter.com/CovidFoodFuture/status/1258836278046572544","NIGERIA – Nigerian SMEs in nutritious food production and processing are experiencing difficulty in accessing raw materials, especially agricultural produce. This creates a gap between supply and demand.
Learn more here &gt; https://t.co/1YjK7O0MBY
#Covid19FoodFuture @JohnAgboola_ https://t.co/Gy70WzAG2A","2020-05-08 19:08 +0000","655.0","22.0","0.03358778625954199","5.0","0.0","8.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258835582068850690","https://twitter.com/CovidFoodFuture/status/1258835582068850690","NIGERIA – As the raining season starts in preparation for the new farming season, farmers are finding it difficult to access inputs from the urban cities where there are restrictions in movements.
Link here &gt; https://t.co/bNnKODjVog
#Covid19FoodFuture @JohnAgboola_

📷BusinessDay https://t.co/xcNGqNzuz6","2020-05-08 19:06 +0000","958.0","36.0","0.037578288100208766","5.0","0.0","10.0","1.0","3.0","0.0","4.0","0.0","0","0","0","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258834108504997888","https://twitter.com/CovidFoodFuture/status/1258834108504997888","NIGERIA – Some farmers and agricultural experts believed that farming season will progress slower than usual this year, due to the coronavirus pandemic and the govt preventive lockdown in states. Here is why &gt; https://t.co/bNnKODjVog #Covid19FoodFuture @JohnAgboola_ 

📷- Rural21 https://t.co/tH4yneouEp","2020-05-08 19:00 +0000","1516.0","46.0","0.030343007915567283","8.0","0.0","12.0","3.0","2.0","0.0","7.0","0.0","0","0","0","0","0","14","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258816739367882753","https://twitter.com/CovidFoodFuture/status/1258816739367882753","🍅#Kenya In the Webinar by @aphrc that tackled food insecurity during #Covid19, @_Atamba explains that food aid is not sustainable as is disrupts markets.

🍅Government buys food at highprices that other buyers cannot compete with.

#Covid19FoodFuture @sharonjcheboi https://t.co/C1XAU7FT1k","2020-05-08 17:51 +0000","1225.0","48.0","0.03918367346938775","9.0","0.0","14.0","10.0","0.0","0.0","3.0","0.0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258810679194267653","https://twitter.com/CovidFoodFuture/status/1258810679194267653","#KENYA- Food has cultural value- including usage in religious ceremonies such as during the current month of Ramadan among Muslims. @olareeh writes about how they are adapting to food system disruptions due to #COVID19 https://t.co/pOLX1Qq2HV #Covid19FoodFuture https://t.co/2imMLaIpUl","2020-05-08 17:27 +0000","1194.0","48.0","0.04020100502512563","8.0","0.0","12.0","0.0","1.0","1.0","1.0","0.0","0","0","0","0","0","25","25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258808352643170308","https://twitter.com/CovidFoodFuture/status/1258808352643170308","#KENYA- Due to loss of incomes &amp; closure of mosques due to #COVID19, many poor Muslim households are finding it difficult to access food for Ramadan festivities. @olareeh explains how this problem is being addressed: https://t.co/pOLX1Qq2HV #Covid19FoodFuture https://t.co/QjU4m0FBGU","2020-05-08 17:17 +0000","518.0","21.0","0.04054054054054054","3.0","0.0","11.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258805978939695105","https://twitter.com/CovidFoodFuture/status/1258805978939695105","#KENYA-The month of Ramadan is here, smack in the middle of #COVID19. This is a period many Muslims share meals with the less fortunate. How has effects of the virus impacted this age-old tradition? @olareeh writes about it here: https://t.co/pOLX1Qq2HV #Covid19FoodFuture https://t.co/lTo83Flq4n","2020-05-08 17:08 +0000","752.0","26.0","0.034574468085106384","5.0","0.0","11.0","2.0","0.0","2.0","2.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258773293714325505","https://twitter.com/CovidFoodFuture/status/1258773293714325505","#Madagascar - Légère hausse du prix du sucre de 200Ar (0,05€) par kilo dû aux difficultés d'approvisionnement au niveau de certains distributeur limitant le temps de vente lié aux mesures de confinement. 
👉https://t.co/cn0NZuXbqc 

#Covid19FoodFuture @mayadisraeli","2020-05-08 14:58 +0000","526.0","11.0","0.02091254752851711","5.0","0.0","4.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258773139892441089","https://twitter.com/CovidFoodFuture/status/1258773139892441089","L'Indice FAO (prix mondiaux) de ces produits alimentaires sont en baisse de: 14,6% pour le sucre; 5,2% huile végétale; 3,6% produits laitiers; 2,7% viande. En hausse de 7,2% pour le riz et 2,5% pour le blé.
👉 https://t.co/mJ4hP1NvNa 

#Covid19FoodFuture #FAO @Maya_disraeli https://t.co/ELsLKmtr9G","2020-05-08 14:57 +0000","503.0","19.0","0.03777335984095427","4.0","0.0","4.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258772061075451912","https://twitter.com/CovidFoodFuture/status/1258772061075451912","#Madagascar - ""Il est temps de prioriser nos atouts pour parvenir à cette fin. Produire et consommer localement pour soutenir nos paysans qui composent 80% de notre population."" - Président du Sénat. 

#Covid19FoodFuture @Maya_disraeli https://t.co/rLzEaWR0eX","2020-05-08 14:53 +0000","768.0","22.0","0.028645833333333332","5.0","0.0","7.0","1.0","0.0","1.0","2.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258770873819029505","https://twitter.com/CovidFoodFuture/status/1258770873819029505","#Madagascar 🇲🇬 - The success of hybrid rice🌾 cultivation is looming - @FAOMadagascar. Post-#Covid19 recovery - This variety at the heart of strategy to stimulate rice production 🌾

👉https://t.co/JRBOOLcW9b

#Covid19FoodFuture #Rice #FAO @MalalaOnisoa
📷https://t.co/t7O66Gp5yx https://t.co/F5dtVXKPDs","2020-05-08 14:48 +0000","982.0","35.0","0.035641547861507125","12.0","0.0","14.0","0.0","1.0","0.0","5.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258769027742273536","https://twitter.com/CovidFoodFuture/status/1258769027742273536","La résilience de nos communautés face à cette crise #Covid-19 doit être accompagnée par l'Etat à travers des interventions hautement stratégiques en ce qui concerne la distribution, la gestion et la subvention des intrants.
#Covid19FoodFuture @yadeyacine https://t.co/FD011DsAAq","2020-05-08 14:41 +0000","924.0","41.0","0.044372294372294376","9.0","0.0","7.0","3.0","0.0","0.0","7.0","0.0","0","0","0","0","0","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258763269591969792","https://twitter.com/CovidFoodFuture/status/1258763269591969792","#Madagascar – Despite #Covid19 and the drought, according to @IPCinfo, 554,000 people will be threatened by food insecurity in the most vulnerable districts of the South between April-July 2020.👇

📌https://t.co/exRO7vR9hc

#Covid19FoodFuture @MalalaOnisoa 🇲🇬
📷 @PamMadagascar https://t.co/kfLQ4smbww","2020-05-08 14:18 +0000","693.0","24.0","0.03463203463203463","5.0","0.0","7.0","3.0","0.0","0.0","6.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258758112900722689","https://twitter.com/CovidFoodFuture/status/1258758112900722689","Le #COVID19 menace l'agriculture et les systèmes alimentaires, surtout pour l'Afrique subsaharienne. Dans un tel contexte, l'agriculture digitale représente une lueur d'espoir. Plus de détails dans ce blog du @CTAflash. @ed_sango #Covid19FoodFuture
👇🏾
https://t.co/MTfsbBpmnI","2020-05-08 13:58 +0000","502.0","18.0","0.035856573705179286","2.0","0.0","6.0","4.0","4.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258756836439789568","https://twitter.com/CovidFoodFuture/status/1258756836439789568","#Malawi- a report by @AFAPPartnership shows that #Covid_19 has also affected market access due to transportation challenges and closure of some markets as shared here 👉 https://t.co/GJ5RS2KmgT
#Covid19FoodFuture @kanyemba_nellie","2020-05-08 13:53 +0000","622.0","13.0","0.02090032154340836","4.0","0.0","6.0","0.0","0.0","1.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258756666184601600","https://twitter.com/CovidFoodFuture/status/1258756666184601600","Drop in fuel prices may also contribute to reduced prices of food and other essentials on the market.","2020-05-08 13:52 +0000","291.0","5.0","0.01718213058419244","2.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258756661038235652","https://twitter.com/CovidFoodFuture/status/1258756661038235652","Malawi- Reduction in fuel prices will in a way positively affect agricultural supply chain as most agricultural produce are distributed mainly by road transport hence fuel decrease could lead to improved profitability of producers.
#Covid19FoodFuture @kanyemba_nellie","2020-05-08 13:52 +0000","677.0","11.0","0.01624815361890694","3.0","1.0","5.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258755504580501504","https://twitter.com/CovidFoodFuture/status/1258755504580501504","How can Sustainable food systems be built starting from the farmer all through to the consumer?, lets learn from this article 👉://bit.ly/2L6tBWx
#Covid19FoodFuture @kanyemba_nellie","2020-05-08 13:47 +0000","610.0","13.0","0.021311475409836064","4.0","0.0","7.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258741507986804741","https://twitter.com/CovidFoodFuture/status/1258741507986804741","Le #Covid19 est perturbateur des activités essentielles aux besoins humains comme l’agriculture, les systèmes alimentaires menaçant les moyens d’existence des personnes. Au #Benin, on se prépare pour une reprise progressive des activités. @josherbert25
#covid19foodfuture https://t.co/gnGEBNJRwz","2020-05-08 12:52 +0000","743.0","14.0","0.018842530282637954","6.0","0.0","3.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258725459065438209","https://twitter.com/CovidFoodFuture/status/1258725459065438209","#Covid19foodfuture It is worrisome for food security where  homes look so much to old people pension pay as a provider of food in homes.  Unemployment, Food insecurity and overall economy, SA working class cannot sustain itself and or is Covid19 the factor? @ndomfuh_1 https://t.co/Nkm1Ap32ai","2020-05-08 11:48 +0000","441.0","24.0","0.05442176870748299","4.0","0.0","6.0","5.0","0.0","1.0","4.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258705270764646400","https://twitter.com/CovidFoodFuture/status/1258705270764646400","#SouthAfrica The past few days was the old people pension pay release day. Old people in parts of the country did not receive the pay. They had to wait the whole day without being notified what the problem is. It is also noticeable how unusually packed it was with lines&amp; queues.. https://t.co/P7FKwV0pt1","2020-05-08 10:28 +0000","1831.0","110.0","0.060076460950300385","8.0","1.0","15.0","1.0","0.0","1.0","20.0","0.0","0","0","0","0","0","64","64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258691173658566658","https://twitter.com/CovidFoodFuture/status/1258691173658566658","With the closure of state borders, farmers in the tomato-growing belt are experiencing difficulties in getting their crop to the market. 

Read about the impact of #Covid19 lockdown on the distribution of tomato here -  https://t.co/3192ZJgPho 

@miss_abimbola #Covid19FoodFuture","2020-05-08 09:32 +0000","1763.0","69.0","0.039137833238797506","18.0","1.0","24.0","8.0","14.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258683171559915520","https://twitter.com/CovidFoodFuture/status/1258683171559915520","Mama Put – also known as “mistresses of spice” is a core part of Nigeria’s food industry, and the broader hospitality and agricultural sectors. 

Read how #Covid19 is affecting her lifestyle here -

 https://t.co/i5i2zT38yK @miss_abimbola #Covid19FoodFuture","2020-05-08 09:00 +0000","1116.0","51.0","0.0456989247311828","8.0","0.0","16.0","1.0","19.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1258658119212838914","https://twitter.com/CovidFoodFuture/status/1258658119212838914","La croissance démographique des villes a aussi des impacts sur la disponibilité et l’accès à l’eau pour l’irrigation des cultures, surtout en cette période de pandémie de #Covid19.
#Covid19FoodFuture @yadeyacine https://t.co/8tKXaMn0hM","2020-05-08 07:20 +0000","819.0","37.0","0.045177045177045176","6.0","0.0","14.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
